"","RKI","LGL","Inzidenz=35","",""
"17.6.","14,4","14,35","35","",""
"18.6.","12,7","12,67","35","",""
"19.6.","13,2","","35","",""
"20.6.","12,7","12,73","35","",""
"21.6.","12,2","12,19","35","",""
"22.6.","9,8","9,77","35","",""
"23.6.","8,8","8,76","35","",""
"24.6.","9,2","9,16","35","",""
"25.6.","8,4","8,35","35","",""
"26.6.","9,0","","35","",""
"27.6.","9,0","8,96","35","",""
"28.6.","9,7","9,70","35","",""
"29.6.","10,6","10,58","35","",""
"30.6.","9,8","9,77","35","",""
"1.7.","10,0","10,04","35","",""
"2.7.","10,8","10,78","35","",""
"3.7.","11,5","","35","",""
"4.7.","12,2","12,19","35","",""
"5.7.","11,6","11,59","35","",""
"6.7.","10,0","10,04","35","",""
"7.7.","10,7","10,71","35","",""
"8.7.","10,6","10,65","35","",""
"9.7.","11,5","11,52","35","",""
"10.7.","11,9","","35","",""
"11.7.","12,3","12,33","35","",""
"12.7.","12,7","12,73","35","",""
"13.7.","12,3","12.26","35","",""
"14.7.","13,8","13,81","35","",""
"15.7.","15,4","15,43","35","",""
"16.7.","15,2","15,23","35","",""
"17.7.","16,8","","35","",""
"18.7.","17,1","17,11","35","",""
"19.7.","17,9","17,85","35","",""
"20.7.","18,1","18,12","35","",""
"21.7.","19,0","19,00","35","",""
"22.7.","19,3","19,27","35","",""
"23.7.","21,4","21,43","35","",""
"24.7.","21,7","","35","",""
"25.7.","","23,92","35","",""
"26.7.","23,9","23,92","35","",""
"27.7.","22,8","22,84","35","",""
"28.7.","25,7","25,67","35","","","","",""
"29.7.","25,1","25,06","35","","","","","."
"30.7.","26,1","26,07","35","",""
"31.7.","25,9","","35","",""
"1.8.","26,9","26,88","35","",""
"2.8.","27,6","27,62","35","",""
"3.8.","24,4","24,39","35","",""
"4.8.","22,6","22,57","35","",""
"5.8.","23,2","23,18","35","",""
"6.8.","23,1","23,11","35","",""
"7.8.","22,7","","35","",""
"8.8.","25,7","25,67","35","",""
"9.8.","26,4","26,41","35","",""
"10.8.","24,5","24,46","35","",""
"11.8.","27,6","27,56","35","",""
"12.8.","28,1","28,10","35","",""
"13.8.","30,9","","35","",""
"14.8.","27,4","","35","",""
"15.8.","30,1","30,12","35","",""
"16.8.","32,6","32,61","35","",""
"17.8.","32,7","32,74","35","",""
"18.8.","32,9","32,95","35","",""
"19.8.","38,6","38,61","35","",""
"20.8.","43,1","43,05","35","",""
"21.8.","48,5","","35","",""
"22.8.","54,4","","35","",""
"23.8.","57,7","57,54","35","",""
"24.8-","58,9","58,89","35","",""
"25.8.","60,4","60,37","35","",""
"26.8.","65,5","65,69","35","",""
"27.8.","73,6","73,78","35","",""
"28.8.","76,8","","35","",""
"29.8.","72,0","72,23","35","",""
"30.8.","77,3","77.27","35","",""
"31.8.","75,9","","35","",""
"1.9.","77,4","","35","",""
"2.9.","","74,05","35"
"3.9.","70,0","70,02","35"
"4.9.","66,7","","35"
"5.9.","63,2","63,16","35"
"6.9.","62,4","62,36","35"
"7.9.","56,4","56,38","35"
